relative_path,caption_short,exists,valid_pdf,size_bytes,sha256
main_figures/fig01_framework.pdf,"End-to-end data, forecasting, and optimization framework",True,True,21075,6a8569d73ad856b019a7c0def5723a26a1162e35b9e70b99df52ba1a032d6675
main_figures/fig02_feature_regularization_evidence.pdf,"Feature redundancy, cost-vector stability, and LASSO selection",True,True,35449,8819f9d9663f36ef65316ff0d32b522a3d7d082ef1b5181f20d88360c5905afe
main_figures/fig03_primary_model_performance.pdf,Corrected static and fixed-squad sequential performance,True,True,19668,3e51fdc33a686b432f7954f26acec4a9baf848573d75d23ca249138fbc4974aa
main_figures/fig04_budget_policy_sensitivity.pdf,Controlled starting-XI cap and bench-budget-rule sensitivity,True,True,16304,a4238842eca9fca7828f3ebd6d5aad3fa0128240e8a8515b8cfc213bc3af8cb0
main_figures/fig05_pareto_frontier.pdf,Epsilon-constraint starter--bench Pareto frontier,True,True,27681,a6959b9bc3979f520fdbb786cdee35fed17272595d6f68ad4acdceb2a1ce1152
main_figures/fig06_external_benchmark.pdf,Corrected joint-model comparison with Santoro strategies,True,True,22453,693e32b904401c8deae24dfcbb3b3be4cd5dbf186aa2bede2e2ba39028f71b0b
main_figures/fig07_availability_sensitivity.pdf,Stochastic starting-availability sensitivity analysis,True,True,24352,001b20b24298d6ebb7aea3669567da2f5a6b19e971bda07dcb8b53668acf0aaa
supplementary_figures/figS01_position_correlations.pdf,Position-specific feature--points correlations,True,True,19550,db520795edb06d6aea46fabf26a2d7d10987809b920c3bfce71b77a3fe7fa633
supplementary_figures/figS02_feature_correlation_heatmap.pdf,Pearson correlation heatmap of modeling features,True,True,36279,4327c3f2b04e9249e6cf3f9cd5d5097a6972310dd86bb5ff27d9497e518fdca6
supplementary_figures/figS03_feature_distributions.pdf,Numeric feature distributions by position,True,True,141951,1aaa8811b9da3fc55f0a63f9d365377b72bcada809c3a79582ce78d0e26e91ff
supplementary_figures/figS04a_shap_goalkeepers.pdf,SHAP summary for goalkeepers,True,True,52531,e8ff9411ce09d2c08412b21e855931d79443247e73cf1e7366bb5ed3bce08731
supplementary_figures/figS04b_shap_defenders.pdf,SHAP summary for defenders,True,True,56199,e3a684dc796f7bb938324ef49863aa5fe64ccc4d95a1665aec1ee2c59763bae3
supplementary_figures/figS04c_shap_midfielders.pdf,SHAP summary for midfielders,True,True,57495,4494d4ae74ff7d6ec4c8a6f4df4818077249c6097dc04660a6d65356b2f4d6a7
supplementary_figures/figS04d_shap_forwards.pdf,SHAP summary for forwards,True,True,52235,6e0ddba3fbe7fca93d77c17e0ad9ceaec8abffc532521de9c11074a4f82a17b1
supplementary_figures/figS05_method_similarity.pdf,Hierarchical clustering of strategy scores,True,True,44413,59666578e71157628255b96b7fdd3319c9fc38d40eb4fc9d242ce41e33fa4dc3
supplementary_figures/figS06a_averaging_robust.pdf,Averaging and robust forecasting families,True,True,15447,1b3b719f2e21c82b209fd981d7545850dddd6bbbc248ae87eb6514fe41385fe6
supplementary_figures/figS06b_simulation.pdf,Simulation forecasting families,True,True,12644,68eefffdfd13c6b90c006ceb94ca2caa319c16b13ebee01b0f955a7d7a383c4c
supplementary_figures/figS07_arima_variants.pdf,ARIMA variants,True,True,16625,602d81aa563f52438ea674d6d92834c5c47fe31ff3088f56df0fa061a4e20392
supplementary_figures/figS08_alternative_objectives.pdf,"ICT, robust ICT, and involvement objectives",True,True,12515,09c7b61976fbb39fecd807b9788307cf77386448dc6033db1cbd40ba06351f92
supplementary_figures/figS09a_hybrid_averaging.pdf,Hybrid averaging methods,True,True,17069,7d6c77b70d399b0a89008e96b59d0d1d49aebfe76a9d75c71cbfa9739d94f224
supplementary_figures/figS09b_hybrid_simulation.pdf,Hybrid simulation methods,True,True,14287,73850ddd1142860bc2b822e300c123a82f577a0ef3cd7cc59b5a02dfbfbadc86
supplementary_figures/figS10a_hybrid_arima.pdf,Hybrid ARIMA methods,True,True,12975,bc7438ab9cbfcc3cc91b67201e6e782d46a1db5e72a59262740998b20682a44a
supplementary_figures/figS10b_hybrid_ict_linear.pdf,Hybrid ICT and linear methods,True,True,14362,dfd86fbc0ce5ea057ded465e1271bded78febb84af66368e01af35045560444d
supplementary_figures/figS11_simple_budget_ranks.pdf,Simple-average budget ranks,True,True,13892,125ac6be2172afe6422412a955fd32534667982a9386dd9f241fcbbe165a1d94
